country,date,exchange,buying_cash,selling_cash,sending_money,getting_money,buying_TC,selling_check
USA,2019.12.16,1173.00,1193.52,1152.48,1184.40,1161.60,1187.07,1160.44
JAPAN,2019.12.16,1071.97,1090.72,1053.22,1082.47,1061.47,1082.68,1060.99
EUROPE,2019.12.16,1307.07,1333.08,1281.06,1320.14,1294.00,1326.67,1293.48
CHINA,2019.12.16,167.48,175.85,159.11,169.15,165.81,N/A,N/A
CANADA,2019.12.16,893.14,910.73,875.55,902.07,884.21,906.53,883.22
AUSTRALIA,2019.12.16,807.61,823.51,791.71,815.68,799.54,819.72,798.71
TAIWAN,2019.12.16,38.90,43.99,36.18,0.00,0.00,N/A,N/A
HONGKONG,2019.12.16,150.57,153.53,147.61,152.07,149.07,N/A,148.91
MALAYSIA,2019.12.16,283.20,301.04,262.25,0.00,280.37,N/A,N/A
SINGAPORE,2019.12.16,866.00,883.23,848.77,874.66,857.34,N/A,856.52
PHILIPPINES,2019.12.16,23.17,25.48,21.28,23.40,22.94,N/A,N/A
MEXICO,2019.12.16,61.61,67.77,56.44,62.22,61.00,N/A,N/A
SWITZERLAND,2019.12.16,1193.35,1216.85,1169.85,1205.28,1181.42,N/A,1181.04
NEWZEALAND,2019.12.16,775.47,790.74,760.20,783.22,767.72,N/A,766.94
SWEDEN,2019.12.16,125.28,128.34,122.22,126.53,124.03,N/A,123.97
SAUDIARABIA,2019.12.16,312.75,332.45,291.18,315.87,309.63,N/A,309.28
