country,date,exchange,buying,selling,sending,getting
 老夯,2019.11.21,"1,083.28","1,102.23","1,064.33","1,093.89","1,072.67"
 老夯,2019.11.20,"1,079.35","1,098.23","1,060.47","1,089.92","1,068.78"
 老夯,2019.11.19,"1,072.05","1,090.81","1,053.29","1,082.55","1,061.55"
 老夯,2019.11.18,"1,068.82","1,087.52","1,050.12","1,079.29","1,058.35"
 老夯,2019.11.15,"1,074.14","1,092.93","1,055.35","1,084.66","1,063.62"
 老夯,2019.11.14,"1,077.36","1,096.21","1,058.51","1,087.91","1,066.81"
 老夯,2019.11.13,"1,073.67","1,092.45","1,054.89","1,084.19","1,063.15"
 老夯,2019.11.12,"1,065.72","1,084.37","1,047.07","1,076.16","1,055.28"
 老夯,2019.11.11,"1,069.51","1,088.22","1,050.80","1,079.99","1,059.03"
 老夯,2019.11.08,"1,058.48","1,077.00","1,039.96","1,068.85","1,048.11"
 老夯,2019.11.07,"1,059.53","1,078.07","1,040.99","1,069.91","1,049.15"
 老夯,2019.11.06,"1,062.70","1,081.29","1,044.11","1,073.11","1,052.29"
 老夯,2019.11.05,"1,062.11","1,080.69","1,043.53","1,072.51","1,051.71"
 老夯,2019.11.04,"1,069.98","1,088.70","1,051.26","1,080.46","1,059.50"
 老夯,2019.11.01,"1,080.26","1,099.16","1,061.36","1,090.84","1,069.68"
 老夯,2019.10.31,"1,078.90","1,097.78","1,060.02","1,089.47","1,068.33"
 老夯,2019.10.30,"1,071.71","1,090.46","1,052.96","1,082.21","1,061.21"
 老夯,2019.10.29,"1,072.69","1,091.46","1,053.92","1,083.20","1,062.18"
 老夯,2019.10.28,"1,076.67","1,095.51","1,057.83","1,087.22","1,066.12"
 老夯,2019.10.25,"1,081.34","1,100.26","1,062.42","1,091.93","1,070.75"
 老夯,2019.10.24,"1,080.22","1,099.12","1,061.32","1,090.80","1,069.64"
 老夯,2019.10.23,"1,081.45","1,100.37","1,062.53","1,092.04","1,070.86"
 老夯,2019.10.22,"1,080.41","1,099.31","1,061.51","1,090.99","1,069.83"
 老夯,2019.10.21,"1,079.39","1,098.27","1,060.51","1,089.96","1,068.82"
 老夯,2019.10.18,"1,086.83","1,105.84","1,067.82","1,097.48","1,076.18"
 老夯,2019.10.17,"1,084.56","1,103.53","1,065.59","1,095.18","1,073.94"
 老夯,2019.10.16,"1,093.94","1,113.08","1,074.80","1,104.66","1,083.22"
 老夯,2019.10.15,"1,096.13","1,115.31","1,076.95","1,106.87","1,085.39"
 老夯,2019.10.14,"1,096.11","1,115.29","1,076.93","1,106.85","1,085.37"
 老夯,2019.10.11,"1,095.71","1,114.88","1,076.54","1,106.44","1,084.98"
 老夯,2019.10.10,"1,112.09","1,131.55","1,092.63","1,122.98","1,101.20"
 老夯,2019.10.08,"1,120.00","1,139.60","1,100.40","1,130.97","1,109.03"
 老夯,2019.10.07,"1,121.15","1,140.77","1,101.53","1,132.13","1,110.17"
 老夯,2019.10.04,"1,121.89","1,141.52","1,102.26","1,132.88","1,110.90"
 老夯,2019.10.02,"1,121.90","1,141.53","1,102.27","1,132.89","1,110.91"
 老夯,2019.10.01,"1,109.88","1,129.30","1,090.46","1,120.75","1,099.01"
 老夯,2019.09.30,"1,111.06","1,130.50","1,091.62","1,121.94","1,100.18"
 老夯,2019.09.27,"1,110.03","1,129.45","1,090.61","1,120.90","1,099.16"
 老夯,2019.09.26,"1,115.76","1,135.28","1,096.24","1,126.69","1,104.83"
 老夯,2019.09.25,"1,118.36","1,137.93","1,098.79","1,129.31","1,107.41"
 老夯,2019.09.24,"1,109.36","1,128.77","1,089.95","1,120.23","1,098.49"
 老夯,2019.09.23,"1,114.52","1,134.02","1,095.02","1,125.44","1,103.60"
 老夯,2019.09.20,"1,100.82","1,120.08","1,081.56","1,111.60","1,090.04"
 老夯,2019.09.19,"1,106.94","1,126.31","1,087.57","1,117.78","1,096.10"
 老夯,2019.09.18,"1,101.46","1,120.73","1,082.19","1,112.25","1,090.67"
 老夯,2019.09.17,"1,101.40","1,120.67","1,082.13","1,112.19","1,090.61"
 老夯,2019.09.16,"1,098.69","1,117.91","1,079.47","1,109.45","1,087.93"
 老夯,2019.09.11,"1,109.31","1,128.72","1,089.90","1,120.18","1,098.44"
 老夯,2019.09.10,"1,110.23","1,129.65","1,090.81","1,121.11","1,099.35"
 老夯,2019.09.09,"1,114.95","1,134.46","1,095.44","1,125.87","1,104.03"
 老夯,2019.09.06,"1,116.67","1,136.21","1,097.13","1,127.61","1,105.73"
 老夯,2019.09.05,"1,125.23","1,144.92","1,105.54","1,136.25","1,114.21"
 老夯,2019.09.04,"1,136.48","1,156.36","1,116.60","1,147.61","1,125.35"
 老夯,2019.09.03,"1,146.47","1,166.53","1,126.41","1,157.70","1,135.24"
 老夯,2019.09.02,"1,139.62","1,159.56","1,119.68","1,150.78","1,128.46"
 老夯,2019.08.30,"1,136.80","1,156.69","1,116.91","1,147.94","1,125.66"
 老夯,2019.08.29,"1,141.92","1,161.90","1,121.94","1,153.11","1,130.73"
 老夯,2019.08.28,"1,148.46","1,168.55","1,128.37","1,159.71","1,137.21"
 老夯,2019.08.27,"1,147.29","1,167.36","1,127.22","1,158.53","1,136.05"
 老夯,2019.08.26,"1,147.81","1,167.89","1,127.73","1,159.05","1,136.57"
 老夯,2019.08.23,"1,135.65","1,155.52","1,115.78","1,146.77","1,124.53"
 老夯,2019.08.22,"1,137.59","1,157.49","1,117.69","1,148.73","1,126.45"
 老夯,2019.08.21,"1,130.63","1,150.41","1,110.85","1,141.71","1,119.55"
 老夯,2019.08.20,"1,137.19","1,157.09","1,117.29","1,148.33","1,126.05"
 老夯,2019.08.19,"1,135.93","1,155.80","1,116.06","1,147.06","1,124.80"
 老夯,2019.08.16,"1,138.53","1,158.45","1,118.61","1,149.68","1,127.38"
 老夯,2019.08.14,"1,144.77","1,164.80","1,124.74","1,155.98","1,133.56"
 老夯,2019.08.13,"1,163.27","1,183.62","1,142.92","1,174.67","1,151.87"
 老夯,2019.08.12,"1,159.46","1,179.75","1,139.17","1,170.82","1,148.10"
 老夯,2019.08.09,"1,146.15","1,166.20","1,126.10","1,157.38","1,134.92"
 老夯,2019.08.08,"1,139.54","1,159.48","1,119.60","1,150.70","1,128.38"
 老夯,2019.08.07,"1,143.89","1,163.90","1,123.88","1,155.10","1,132.68"
 老夯,2019.08.06,"1,143.56","1,163.57","1,123.55","1,154.76","1,132.36"
 老夯,2019.08.05,"1,146.47","1,166.53","1,126.41","1,157.70","1,135.24"
 老夯,2019.08.02,"1,123.49","1,143.15","1,103.83","1,134.50","1,112.48"
 老夯,2019.08.01,"1,090.28","1,109.35","1,071.21","1,100.96","1,079.60"
 老夯,2019.07.31,"1,089.62","1,108.68","1,070.56","1,100.29","1,078.95"
 老夯,2019.07.30,"1,087.53","1,106.56","1,068.50","1,098.18","1,076.88"
 老夯,2019.07.29,"1,090.25","1,109.32","1,071.18","1,100.93","1,079.57"
