country,date,exchange,buying,selling,sending,getting
 미국,2019.11.19,"1,166.50","1,186.91","1,146.09","1,177.90","1,155.10"
 미국,2019.11.18,"1,165.50","1,185.89","1,145.11","1,176.90","1,154.10"
 미국,2019.11.15,"1,167.00","1,187.42","1,146.58","1,178.40","1,155.60"
 미국,2019.11.14,"1,170.50","1,190.98","1,150.02","1,181.90","1,159.10"
 미국,2019.11.13,"1,169.50","1,189.96","1,149.04","1,180.90","1,158.10"
 미국,2019.11.12,"1,163.50","1,183.86","1,143.14","1,174.90","1,152.10"
 미국,2019.11.11,"1,165.50","1,185.89","1,145.11","1,176.90","1,154.10"
 미국,2019.11.08,"1,157.50","1,177.75","1,137.25","1,168.80","1,146.20"
 미국,2019.11.07,"1,156.00","1,176.23","1,135.77","1,167.30","1,144.70"
 미국,2019.11.06,"1,158.50","1,178.77","1,138.23","1,169.80","1,147.20"
 미국,2019.11.05,"1,156.00","1,176.23","1,135.77","1,167.30","1,144.70"
 미국,2019.11.04,"1,160.50","1,180.80","1,140.20","1,171.80","1,149.20"
 미국,2019.11.01,"1,167.00","1,187.42","1,146.58","1,178.40","1,155.60"
 미국,2019.10.31,"1,168.50","1,188.94","1,148.06","1,179.90","1,157.10"
 미국,2019.10.30,"1,166.50","1,186.91","1,146.09","1,177.90","1,155.10"
 미국,2019.10.29,"1,168.00","1,188.44","1,147.56","1,179.40","1,156.60"
 미국,2019.10.28,"1,170.50","1,190.98","1,150.02","1,181.90","1,159.10"
 미국,2019.10.25,"1,174.50","1,195.05","1,153.95","1,186.00","1,163.00"
 미국,2019.10.24,"1,173.50","1,194.03","1,152.97","1,185.00","1,162.00"
 미국,2019.10.23,"1,173.00","1,193.52","1,152.48","1,184.40","1,161.60"
 미국,2019.10.22,"1,173.00","1,193.52","1,152.48","1,184.40","1,161.60"
 미국,2019.10.21,"1,172.00","1,192.51","1,151.49","1,183.40","1,160.60"
 미국,2019.10.18,"1,181.00","1,201.66","1,160.34","1,192.50","1,169.50"
 미국,2019.10.17,"1,180.00","1,200.65","1,159.35","1,191.50","1,168.50"
 미국,2019.10.16,"1,189.50","1,210.31","1,168.69","1,201.10","1,177.90"
 미국,2019.10.15,"1,186.40","1,207.16","1,165.64","1,198.00","1,174.80"
 미국,2019.10.14,"1,185.50","1,206.24","1,164.76","1,197.10","1,173.90"
 미국,2019.10.11,"1,186.00","1,206.75","1,165.25","1,197.60","1,174.40"
 미국,2019.10.10,"1,195.00","1,215.91","1,174.09","1,206.70","1,183.30"
 미국,2019.10.08,"1,196.50","1,217.43","1,175.57","1,208.20","1,184.80"
 미국,2019.10.07,"1,198.00","1,218.96","1,177.04","1,209.70","1,186.30"
 미국,2019.10.04,"1,197.00","1,217.94","1,176.06","1,208.70","1,185.30"
 미국,2019.10.02,"1,207.00","1,228.12","1,185.88","1,218.80","1,195.20"
 미국,2019.10.01,"1,201.50","1,222.52","1,180.48","1,213.20","1,189.80"
 미국,2019.09.30,"1,199.00","1,219.98","1,178.02","1,210.70","1,187.30"
 미국,2019.09.27,"1,200.00","1,221.00","1,179.00","1,211.70","1,188.30"
 미국,2019.09.26,"1,200.50","1,221.50","1,179.50","1,212.20","1,188.80"
 미국,2019.09.25,"1,200.50","1,221.50","1,179.50","1,212.20","1,188.80"
 미국,2019.09.24,"1,195.00","1,215.91","1,174.09","1,206.70","1,183.30"
 미국,2019.09.23,"1,197.50","1,218.45","1,176.55","1,209.20","1,185.80"
 미국,2019.09.20,"1,188.50","1,209.29","1,167.71","1,200.10","1,176.90"
 미국,2019.09.19,"1,195.00","1,215.91","1,174.09","1,206.70","1,183.30"
 미국,2019.09.18,"1,192.00","1,212.86","1,171.14","1,203.60","1,180.40"
 미국,2019.09.17,"1,191.00","1,211.84","1,170.16","1,202.60","1,179.40"
 미국,2019.09.16,"1,184.00","1,204.72","1,163.28","1,195.60","1,172.40"
 미국,2019.09.11,"1,194.50","1,215.40","1,173.60","1,206.20","1,182.80"
 미국,2019.09.10,"1,192.00","1,212.86","1,171.14","1,203.60","1,180.40"
 미국,2019.09.09,"1,193.00","1,213.87","1,172.13","1,204.60","1,181.40"
 미국,2019.09.06,"1,194.50","1,215.40","1,173.60","1,206.20","1,182.80"
 미국,2019.09.05,"1,200.00","1,221.00","1,179.00","1,211.70","1,188.30"
 미국,2019.09.04,"1,207.00","1,228.12","1,185.88","1,218.80","1,195.20"
 미국,2019.09.03,"1,216.00","1,237.28","1,194.72","1,227.90","1,204.10"
 미국,2019.09.02,"1,212.50","1,233.71","1,191.29","1,224.30","1,200.70"
 미국,2019.08.30,"1,209.50","1,230.66","1,188.34","1,221.30","1,197.70"
 미국,2019.08.29,"1,213.00","1,234.22","1,191.78","1,224.80","1,201.20"
 미국,2019.08.28,"1,214.50","1,235.75","1,193.25","1,226.40","1,202.60"
 미국,2019.08.27,"1,214.00","1,235.24","1,192.76","1,225.80","1,202.20"
 미국,2019.08.26,"1,214.50","1,235.75","1,193.25","1,226.40","1,202.60"
 미국,2019.08.23,"1,211.00","1,232.19","1,189.81","1,222.80","1,199.20"
 미국,2019.08.22,"1,210.00","1,231.17","1,188.83","1,221.80","1,198.20"
 미국,2019.08.21,"1,203.50","1,224.56","1,182.44","1,215.20","1,191.80"
 미국,2019.08.20,"1,209.00","1,230.15","1,187.85","1,220.80","1,197.20"
 미국,2019.08.19,"1,210.50","1,231.68","1,189.32","1,222.30","1,198.70"
 미국,2019.08.16,"1,211.00","1,232.19","1,189.81","1,222.80","1,199.20"
 미국,2019.08.14,"1,215.00","1,236.26","1,193.74","1,226.90","1,203.10"
 미국,2019.08.13,"1,223.00","1,244.40","1,201.60","1,234.90","1,211.10"
 미국,2019.08.12,"1,219.00","1,240.33","1,197.67","1,230.90","1,207.10"
 미국,2019.08.09,"1,212.00","1,233.21","1,190.79","1,223.80","1,200.20"
 미국,2019.08.08,"1,209.00","1,230.15","1,187.85","1,220.80","1,197.20"
 미국,2019.08.07,"1,215.50","1,236.77","1,194.23","1,227.40","1,203.60"
 미국,2019.08.06,"1,216.00","1,237.28","1,194.72","1,227.90","1,204.10"
 미국,2019.08.05,"1,216.00","1,237.28","1,194.72","1,227.90","1,204.10"
 미국,2019.08.02,"1,200.50","1,221.50","1,179.50","1,212.20","1,188.80"
 미국,2019.08.01,"1,189.00","1,209.80","1,168.20","1,200.60","1,177.40"
 미국,2019.07.31,"1,183.00","1,203.70","1,162.30","1,194.50","1,171.50"
 미국,2019.07.30,"1,181.00","1,201.66","1,160.34","1,192.50","1,169.50"
 미국,2019.07.29,"1,184.50","1,205.22","1,163.78","1,196.10","1,172.90"
 미국,2019.07.26,"1,184.50","1,205.22","1,163.78","1,196.10","1,172.90"
 미국,2019.07.25,"1,181.50","1,202.17","1,160.83","1,193.00","1,170.00"
 미국,2019.07.24,"1,178.50","1,199.12","1,157.88","1,190.00","1,167.00"
 미국,2019.07.23,"1,179.00","1,199.63","1,158.37","1,190.50","1,167.50"
 미국,2019.07.22,"1,177.50","1,198.10","1,156.90","1,189.00","1,166.00"
 미국,2019.07.19,"1,175.50","1,196.07","1,154.93","1,187.00","1,164.00"
 미국,2019.07.18,"1,178.50","1,199.12","1,157.88","1,190.00","1,167.00"
 미국,2019.07.17,"1,181.00","1,201.66","1,160.34","1,192.50","1,169.50"
 미국,2019.07.16,"1,178.50","1,199.12","1,157.88","1,190.00","1,167.00"
 미국,2019.07.15,"1,180.00","1,200.65","1,159.35","1,191.50","1,168.50"
 미국,2019.07.12,"1,179.00","1,199.63","1,158.37","1,190.50","1,167.50"
 미국,2019.07.11,"1,174.00","1,194.54","1,153.46","1,185.50","1,162.50"
 미국,2019.07.10,"1,181.50","1,202.17","1,160.83","1,193.00","1,170.00"
 미국,2019.07.09,"1,183.00","1,203.70","1,162.30","1,194.50","1,171.50"
 미국,2019.07.08,"1,180.50","1,201.15","1,159.85","1,192.00","1,169.00"
 미국,2019.07.05,"1,171.50","1,192.00","1,151.00","1,182.90","1,160.10"
 미국,2019.07.04,"1,169.00","1,189.45","1,148.55","1,180.40","1,157.60"
 미국,2019.07.03,"1,170.50","1,190.98","1,150.02","1,181.90","1,159.10"
 미국,2019.07.02,"1,167.50","1,187.93","1,147.07","1,178.90","1,156.10"
 미국,2019.07.01,"1,163.00","1,183.35","1,142.65","1,174.30","1,151.70"
 미국,2019.06.28,"1,155.50","1,175.72","1,135.28","1,166.80","1,144.20"
 미국,2019.06.27,"1,156.50","1,176.73","1,136.27","1,167.80","1,145.20"
 미국,2019.06.26,"1,156.50","1,176.73","1,136.27","1,167.80","1,145.20"
 미국,2019.06.25,"1,156.00","1,176.23","1,135.77","1,167.30","1,144.70"
 미국,2019.06.24,"1,157.50","1,177.75","1,137.25","1,168.80","1,146.20"
 미국,2019.06.21,"1,163.50","1,183.86","1,143.14","1,174.90","1,152.10"
 미국,2019.06.20,"1,161.50","1,181.82","1,141.18","1,172.80","1,150.20"
 미국,2019.06.19,"1,176.50","1,197.08","1,155.92","1,188.00","1,165.00"
 미국,2019.06.18,"1,186.00","1,206.75","1,165.25","1,197.60","1,174.40"
 미국,2019.06.17,"1,187.50","1,208.28","1,166.72","1,199.10","1,175.90"
 미국,2019.06.14,"1,185.50","1,206.24","1,164.76","1,197.10","1,173.90"
 미국,2019.06.13,"1,183.00","1,203.70","1,162.30","1,194.50","1,171.50"
 미국,2019.06.12,"1,183.00","1,203.70","1,162.30","1,194.50","1,171.50"
 미국,2019.06.11,"1,181.50","1,202.17","1,160.83","1,193.00","1,170.00"
 미국,2019.06.10,"1,186.50","1,207.26","1,165.74","1,198.10","1,174.90"
 미국,2019.06.07,"1,185.50","1,206.24","1,164.76","1,197.10","1,173.90"
 미국,2019.06.05,"1,178.00","1,198.61","1,157.39","1,189.50","1,166.50"
 미국,2019.06.04,"1,183.50","1,204.21","1,162.79","1,195.00","1,172.00"
 미국,2019.06.03,"1,182.50","1,203.19","1,161.81","1,194.00","1,171.00"
 미국,2019.05.31,"1,191.50","1,212.35","1,170.65","1,203.10","1,179.90"
 미국,2019.05.30,"1,191.50","1,212.35","1,170.65","1,203.10","1,179.90"
 미국,2019.05.29,"1,194.50","1,215.40","1,173.60","1,206.20","1,182.80"
 미국,2019.05.28,"1,189.50","1,210.31","1,168.69","1,201.10","1,177.90"
 미국,2019.05.27,"1,185.50","1,206.24","1,164.76","1,197.10","1,173.90"
